fault_id,run_index,run_id,xmv_change_delay,xmeas_change_delay,f0_alarm_delay,f1_alarm_delay
4,380,4200432423,0.0,2.0,2.0,2.0
4,381,4162534782,2.0,2.0,2.0,2.0
4,382,4191770441,2.0,2.0,2.0,2.0
4,383,4237705676,2.0,2.0,2.0,2.0
4,384,4250151931,2.0,2.0,2.0,2.0
4,385,4279408034,2.0,2.0,2.0,2.0
4,386,4275109781,2.0,2.0,2.0,2.0
4,387,4119640232,2.0,2.0,2.0,2.0
4,388,4098806431,2.0,2.0,2.0,2.0
4,389,1126403701,2.0,2.0,2.0,2.0
4,390,1122100290,2.0,2.0,2.0,2.0
4,391,1084709403,2.0,2.0,2.0,2.0
4,392,1097150508,2.0,2.0,2.0,2.0
4,393,1143613097,2.0,2.0,2.0,2.0
4,394,1172851870,2.0,2.0,2.0,2.0
4,395,1202647751,2.0,2.0,2.0,2.0
4,396,1181522160,2.0,2.0,2.0,2.0
4,397,1295048653,2.0,2.0,2.0,2.0
4,398,1290974714,2.0,2.0,2.0,2.0
4,399,55306319,2.0,2.0,2.0,2.0
7,680,1666503325,2.0,2.0,2.0,2.0
7,681,1628597444,2.0,2.0,2.0,2.0
7,682,1624246003,2.0,2.0,2.0,2.0
7,683,1704923254,2.0,2.0,2.0,2.0
7,684,1683847745,2.0,2.0,2.0,2.0
7,685,1713095704,2.0,2.0,2.0,2.0
7,686,1742319151,2.0,2.0,2.0,2.0
7,687,1820715282,2.0,2.0,2.0,2.0
7,688,1833403173,2.0,2.0,2.0,2.0
7,689,3660242895,2.0,2.0,2.0,2.0
7,690,3689461240,2.0,2.0,2.0,2.0
7,691,3652062113,2.0,2.0,2.0,2.0
7,692,3630981526,2.0,2.0,2.0,2.0
7,693,3710088979,2.0,2.0,2.0,2.0
7,694,3705740580,2.0,2.0,2.0,2.0
7,695,3735528317,2.0,2.0,2.0,2.0
7,696,3747989834,2.0,2.0,2.0,2.0
7,697,3560541815,2.0,2.0,2.0,2.0
7,698,3590054976,2.0,2.0,2.0,2.0
7,699,2588064245,2.0,2.0,2.0,2.0
19,1880,2650263259,7.0,75.0,76.0,50.0
19,1881,2679206018,8.0,95.0,164.0,32.0
19,1882,2658343605,5.0,32.0,54.0,17.0
19,1883,2604403760,4.0,37.0,36.0,20.0
19,1884,2600363527,7.0,48.0,48.0,26.0
19,1885,2562250846,6.0,72.0,74.0,28.0
19,1886,2574955113,6.0,59.0,206.0,26.0
19,1887,2452026708,4.0,60.0,100.0,28.0
19,1888,2481233763,6.0,184.0,184.0,22.0
19,1889,613008265,8.0,58.0,58.0,34.0
19,1890,625715646,7.0,37.0,58.0,30.0
19,1891,655169511,14.0,66.0,182.0,46.0
19,1892,651132368,6.0,166.0,210.0,56.0
19,1893,595618645,3.0,44.0,44.0,22.0
19,1894,574751074,21.0,77.0,77.0,44.0
19,1895,537182011,11.0,53.0,148.0,30.0
19,1896,566678796,4.0,57.0,285.0,20.0
19,1897,714773041,11.0,64.0,276.0,36.0
19,1898,727250950,5.0,26.0,26.0,19.0
19,1899,1692509619,4.0,40.0,40.0,20.0
24,2380,3362513317,16.0,23.0,28.0,18.0
24,2381,3391971324,8.0,8.0,10.0,10.0
24,2382,3421451723,15.0,21.0,36.0,19.0
24,2383,3466601294,9.0,21.0,30.0,10.0
24,2384,3479325049,11.0,29.0,40.0,14.0
24,2385,3441751840,18.0,18.0,42.0,19.0
24,2386,3437665559,11.0,12.0,34.0,12.0
24,2387,3350911530,14.0,15.0,24.0,16.0
24,2388,3329798173,14.0,14.0,18.0,16.0
24,2389,1897262327,12.0,12.0,16.0,14.0
24,2390,1893172928,26.0,27.0,40.0,28.0
24,2391,1922119833,15.0,17.0,30.0,16.0
24,2392,1934840494,7.0,14.0,20.0,8.0
24,2393,1981563947,12.0,12.0,14.0,14.0
24,2394,2011049500,17.0,17.0,30.0,17.0
24,2395,1972932677,10.0,12.0,12.0,12.0
24,2396,1952119410,8.0,7.0,10.0,10.0
24,2397,2131148111,6.0,8.0,14.0,10.0
24,2398,2126829432,15.0,16.0,20.0,16.0
24,2399,830311117,19.0,19.0,22.0,20.0
25,2480,3211579699,6.0,12.0,80.0,12.0
25,2481,3173674858,15.0,104.0,120.0,88.0
25,2482,3169322333,6.0,23.0,896.0,24.0
25,2483,3114734552,7.0,110.0,114.0,36.0
25,2484,3093658095,19.0,88.0,242.0,25.0
25,2485,3122907062,13.0,38.0,98.0,18.0
25,2486,3152129409,16.0,99.0,190.0,24.0
25,2487,2965236412,10.0,87.0,296.0,62.0
25,2488,2977923211,7.0,41.0,240.0,10.0
25,2489,101899361,7.0,110.0,468.0,14.0
25,2490,131118678,12.0,110.0,236.0,24.0
25,2491,93718543,29.0,38.0,236.0,34.0
25,2492,72639032,6.0,20.0,,12.0
25,2493,18576573,14.0,24.0,470.0,20.0
25,2494,14229130,47.0,61.0,300.0,83.0
25,2495,44015827,8.0,61.0,78.0,61.0
25,2496,56478436,19.0,47.0,270.0,26.0
25,2497,134319577,24.0,107.0,182.0,70.0
25,2498,163833838,16.0,38.0,40.0,32.0
25,2499,1182448219,17.0,38.0,100.0,34.0
26,2580,644186249,17.0,122.0,,28.0
26,2581,606289616,23.0,79.0,,30.0
26,2582,635524327,34.0,338.0,,50.0
26,2583,548291170,21.0,118.0,,26.0
26,2584,560736341,25.0,261.0,930.0,34.0
26,2585,589993484,23.0,96.0,1130.0,28.0
26,2586,585694267,22.0,45.0,,28.0
26,2587,699710214,12.0,28.0,,15.0
26,2588,678875441,32.0,181.0,,44.0
26,2589,2669383131,18.0,16.0,,26.0
26,2590,2665080812,11.0,167.0,,18.0
26,2591,2627688885,26.0,37.0,,30.0
26,2592,2640130946,28.0,151.0,,40.0
26,2593,2551325959,13.0,115.0,,18.0
26,2594,2580565808,21.0,168.0,,30.0
26,2595,2610360681,16.0,18.0,,18.0
26,2596,2589236062,29.0,194.0,,34.0
26,2597,2433277027,11.0,52.0,1061.0,14.0
26,2598,2429204052,27.0,216.0,1080.0,31.0
26,2599,3748916193,8.0,53.0,,36.0
