variant,seed,fault_id,auroc,auprc,detected_run_ratio,detection_delay,prefault_run_alarm_rate
F0,42,1,0.9988985014404959,0.9996207916272454,1.0,6.65,0.0
F0,42,2,0.9975531880139895,0.9991475036966542,1.0,16.0,0.0
F0,42,3,0.519983986271834,0.7196263813873444,0.0,,0.0
F0,42,4,0.5013774888156621,0.7122622892005969,1.0,4.0,0.0
F0,42,5,0.49563630222182775,0.7058556937233684,0.0,,0.0
F0,42,6,0.9995710780234696,0.9998588596364439,1.0,3.0,0.0
F0,42,7,0.511839501515695,0.7255176865734165,1.0,4.0,0.0
F0,42,8,0.9930370855261292,0.997655425310216,1.0,25.8,0.0
F0,42,9,0.5334976065701899,0.7318016189744213,0.0,,0.0
F0,42,10,0.9626263007301717,0.9864268082670428,1.0,43.95,0.0
F0,42,11,0.9651105767037855,0.987064899169074,1.0,12.35,0.0
F0,42,12,0.7987301261497154,0.9152372470213748,1.0,25.95,0.0
F0,42,13,0.9886457027363874,0.9962427667077499,1.0,36.55,0.0
F0,42,14,0.9973478510908197,0.9989915342383506,1.0,6.05,0.0
F0,42,15,0.5163695682457263,0.7191986443265452,0.0,,0.0
F0,42,16,0.5106579497250299,0.7162222028362112,0.0,,0.0
F0,42,17,0.9896273109880803,0.996568088737862,1.0,33.5,0.0
F0,42,18,0.9386790338507284,0.9770710674779781,1.0,62.9,0.0
F0,42,19,0.7624225664125921,0.8955347826597295,1.0,119.3,0.0
F0,42,20,0.9848882059323528,0.994832878980251,1.0,42.95,0.0
F0,42,21,0.5013764594497638,0.70772739835628,0.0,,0.0
F0,42,22,0.5488662120197885,0.7433548133968967,0.0,,0.0
F0,42,23,0.5227830293930193,0.7246231774615585,0.0,,0.0
F0,42,24,0.9047354190628702,0.9631425250928333,1.0,26.5,0.0
F0,42,25,0.6848096998319729,0.8456170184029796,0.95,247.05263157894737,0.0
F0,42,26,0.5410752435652304,0.7408221355570489,0.2,1052.25,0.0
F0,42,27,0.785524428023901,0.905435076207098,1.0,26.75,0.0
F0,42,28,0.5613247199446731,0.7605707842108907,0.0,,0.0
F1,42,1,0.9989324088764625,0.9996329832708927,1.0,6.35,0.0
F1,42,2,0.9977769425737106,0.9992276299422478,1.0,13.95,0.0
F1,42,3,0.538723802021502,0.7334953569685431,0.0,,0.0
F1,42,4,0.9639327941181909,0.9833701598773144,1.0,4.0,0.0
F1,42,5,0.4963260174388144,0.7060297670668849,0.05,4.0,0.0
F1,42,6,0.9995630156845776,0.999857148115813,1.0,3.0,0.0
F1,42,7,0.9993020097906874,0.9997650965600927,1.0,4.0,0.0
F1,42,8,0.9931115388835263,0.9976831983264719,1.0,25.25,0.0
F1,42,9,0.5430739300450332,0.7388147069732198,0.0,,0.0
F1,42,10,0.956969241684018,0.9841931268885596,1.0,45.2,0.0
F1,42,11,0.9776576131778559,0.9916902411551933,1.0,11.0,0.0
F1,42,12,0.7836155521777561,0.9080510895245987,1.0,27.5,0.0
F1,42,13,0.9888595827801262,0.9963128375891758,1.0,36.0,0.0
F1,42,14,0.9980683024338648,0.9992806162415573,1.0,6.05,0.0
F1,42,15,0.5173474134562162,0.7198403193217503,0.0,,0.0
F1,42,16,0.5113902788410449,0.717412785223039,0.0,,0.0
F1,42,17,0.9883263959002884,0.9960638665517835,1.0,33.4,0.0
F1,42,18,0.9321665070224944,0.9744461918631703,1.0,65.0,0.0
F1,42,19,0.9772299763677315,0.9915260809367722,1.0,32.3,0.0
F1,42,20,0.9864279585640161,0.9954476439317379,1.0,43.25,0.0
F1,42,21,0.5015763321042581,0.7077216152698537,0.0,,0.0
F1,42,22,0.5607359010773207,0.7521668092830865,0.0,,0.0
F1,42,23,0.5414850637159,0.7383787778149715,0.0,,0.0
F1,42,24,0.9844484509584198,0.9943609067301139,1.0,16.95,0.0
F1,42,25,0.8892182674847352,0.9543236082397115,1.0,37.45,0.0
F1,42,26,0.9521874518447839,0.9823034767010084,1.0,30.9,0.0
F1,42,27,0.8062834312771904,0.9153854864683996,1.0,26.55,0.0
F1,42,28,0.5604023741985431,0.7603914543294601,0.0,,0.0
