source_column,canonical_variable,semantic_role,included,mapping_confidence,notes
run_id,run_id,RUN_ID,False,CONFIRMED,
sample,sample_idx,TIME,False,LIKELY,sample order within run; physical time unit not encoded
xmeas_1,XMEAS_01,STATE,True,CONFIRMED,
xmeas_2,XMEAS_02,STATE,True,CONFIRMED,
xmeas_3,XMEAS_03,STATE,True,CONFIRMED,
xmeas_4,XMEAS_04,STATE,True,CONFIRMED,
xmeas_5,XMEAS_05,STATE,True,CONFIRMED,
xmeas_6,XMEAS_06,STATE,True,CONFIRMED,
xmeas_7,XMEAS_07,STATE,True,CONFIRMED,
xmeas_8,XMEAS_08,STATE,True,CONFIRMED,
xmeas_9,XMEAS_09,STATE,True,CONFIRMED,
xmeas_10,XMEAS_10,STATE,True,CONFIRMED,
xmeas_11,XMEAS_11,STATE,True,CONFIRMED,
xmeas_12,XMEAS_12,STATE,True,CONFIRMED,
xmeas_13,XMEAS_13,STATE,True,CONFIRMED,
xmeas_14,XMEAS_14,STATE,True,CONFIRMED,
xmeas_15,XMEAS_15,STATE,True,CONFIRMED,
xmeas_16,XMEAS_16,STATE,True,CONFIRMED,
xmeas_17,XMEAS_17,STATE,True,CONFIRMED,
xmeas_18,XMEAS_18,STATE,True,CONFIRMED,
xmeas_19,XMEAS_19,STATE,True,CONFIRMED,
xmeas_20,XMEAS_20,STATE,True,CONFIRMED,
xmeas_21,XMEAS_21,STATE,True,CONFIRMED,
xmeas_22,XMEAS_22,STATE,True,CONFIRMED,
xmeas_23,XMEAS_23,STATE,True,CONFIRMED,
xmeas_24,XMEAS_24,STATE,True,CONFIRMED,
xmeas_25,XMEAS_25,STATE,True,CONFIRMED,
xmeas_26,XMEAS_26,STATE,True,CONFIRMED,
xmeas_27,XMEAS_27,STATE,True,CONFIRMED,
xmeas_28,XMEAS_28,STATE,True,CONFIRMED,
xmeas_29,XMEAS_29,STATE,True,CONFIRMED,
xmeas_30,XMEAS_30,STATE,True,CONFIRMED,
xmeas_31,XMEAS_31,STATE,True,CONFIRMED,
xmeas_32,XMEAS_32,STATE,True,CONFIRMED,
xmeas_33,XMEAS_33,STATE,True,CONFIRMED,
xmeas_34,XMEAS_34,STATE,True,CONFIRMED,
xmeas_35,XMEAS_35,STATE,True,CONFIRMED,
xmeas_36,XMEAS_36,STATE,True,CONFIRMED,
xmeas_37,XMEAS_37,STATE,True,CONFIRMED,
xmeas_38,XMEAS_38,STATE,True,CONFIRMED,
xmeas_39,XMEAS_39,STATE,True,CONFIRMED,
xmeas_40,XMEAS_40,STATE,True,CONFIRMED,
xmeas_41,XMEAS_41,STATE,True,CONFIRMED,
xmv_1,XMV_01,ACTION_CANDIDATE,True,CONFIRMED,
xmv_2,XMV_02,ACTION_CANDIDATE,True,CONFIRMED,
xmv_3,XMV_03,ACTION_CANDIDATE,True,CONFIRMED,
xmv_4,XMV_04,ACTION_CANDIDATE,True,CONFIRMED,
xmv_5,XMV_05,ACTION_CANDIDATE,True,CONFIRMED,
xmv_6,XMV_06,ACTION_CANDIDATE,True,CONFIRMED,
xmv_7,XMV_07,ACTION_CANDIDATE,True,CONFIRMED,
xmv_8,XMV_08,ACTION_CANDIDATE,True,CONFIRMED,
xmv_9,XMV_09,ACTION_CANDIDATE,True,CONFIRMED,
xmv_10,XMV_10,ACTION_CANDIDATE,True,CONFIRMED,
xmv_11,XMV_11,ACTION_CANDIDATE,True,CONFIRMED,
xmv_12,XMV_12,ACTION_CANDIDATE,False,CONFIRMED,expected canonical variable absent from dataset.csv; removal reason UNKNOWN
